kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:33 +0000] "GET /static/compiled/fontawesome-webfont.woff2 HTTP/1.1" 200 (77160 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:48:34 +0000] "GET /help/in_app_messages/ HTTP/1.1" 200 (52 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - admin [15/Dec/2020:07:48:34 +0000] "GET /api/v2/assets/?q=asset_type%3Asurvey&limit=200 HTTP/1.1" 200 (52 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:34 +0000] "GET /static/compiled/k-icons.1606897495149.woff2 HTTP/1.1" 200 (10464 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:34 +0000] "GET /static/compiled/kobologoS.svg HTTP/1.1" 200 (1309 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:34 +0000] "GET /static/favicon-32x32.png HTTP/1.1" 200 (569 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:48:34 +0000] "GET /static/apple-touch-icon.png HTTP/1.1" 200 (1840 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (Linux; Android 10; Mi Note 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:52:49 +0000] "HEAD / HTTP/1.1" 302 (0 bytes) "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:52:52 +0000] "GET / HTTP/1.1" 302 (0 bytes) "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
kf.kobo.local | 190.99.209.190 - - [15/Dec/2020:07:52:52 +0000] "GET /accounts/login/?next=/ HTTP/1.1" 200 (1355 bytes) "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
